X,Y,Z,surface,description
225.0,225.0,6.5,surface_5,强风化花岗岩
275.0,225.0,34.8,surface_1,表层素填土
275.0,225.0,28.4,surface_2,粘土层
275.0,225.0,21.7,surface_3,砂质粉土层
275.0,225.0,15.3,surface_4,中砂层
275.0,225.0,9.6,surface_5,强风化花岗岩
325.0,225.0,32.4,surface_1,表层素填土
325.0,225.0,26.0,surface_2,粘土层
325.0,225.0,19.3,surface_3,砂质粉土层
325.0,225.0,12.9,surface_4,中砂层
325.0,225.0,7.2,surface_5,强风化花岗岩
375.0,225.0,35.6,surface_1,表层素填土
375.0,225.0,29.2,surface_2,粘土层
375.0,225.0,22.5,surface_3,砂质粉土层
375.0,225.0,16.1,surface_4,中砂层
375.0,225.0,10.4,surface_5,强风化花岗岩
425.0,225.0,33.5,surface_1,表层素填土
425.0,225.0,27.1,surface_2,粘土层
425.0,225.0,20.4,surface_3,砂质粉土层
425.0,225.0,14.0,surface_4,中砂层
425.0,225.0,8.3,surface_5,强风化花岗岩
475.0,225.0,36.7,surface_1,表层素填土
475.0,225.0,30.3,surface_2,粘土层
475.0,225.0,23.6,surface_3,砂质粉土层
475.0,225.0,17.2,surface_4,中砂层
475.0,225.0,11.5,surface_5,强风化花岗岩
25.0,325.0,34.3,surface_1,表层素填土
25.0,325.0,27.9,surface_2,粘土层
25.0,325.0,21.2,surface_3,砂质粉土层
25.0,325.0,14.8,surface_4,中砂层
25.0,325.0,9.1,surface_5,强风化花岗岩
75.0,325.0,37.5,surface_1,表层素填土
75.0,325.0,31.1,surface_2,粘土层
75.0,325.0,24.4,surface_3,砂质粉土层
75.0,325.0,18.0,surface_4,中砂层
75.0,325.0,12.3,surface_5,强风化花岗岩
125.0,325.0,35.7,surface_1,表层素填土
125.0,325.0,29.3,surface_2,粘土层
125.0,325.0,22.6,surface_3,砂质粉土层
125.0,325.0,16.2,surface_4,中砂层
125.0,325.0,10.5,surface_5,强风化花岗岩
175.0,325.0,38.9,surface_1,表层素填土
175.0,325.0,32.5,surface_2,粘土层
175.0,325.0,25.8,surface_3,砂质粉土层
175.0,325.0,19.4,surface_4,中砂层
175.0,325.0,13.7,surface_5,强风化花岗岩
225.0,325.0,36.5,surface_1,表层素填土
225.0,325.0,30.1,surface_2,粘土层
225.0,325.0,23.4,surface_3,砂质粉土层
225.0,325.0,17.0,surface_4,中砂层
225.0,325.0,11.3,surface_5,强风化花岗岩
275.0,325.0,39.7,surface_1,表层素填土
275.0,325.0,33.3,surface_2,粘土层
275.0,325.0,26.6,surface_3,砂质粉土层
275.0,325.0,20.2,surface_4,中砂层
275.0,325.0,14.5,surface_5,强风化花岗岩
325.0,325.0,37.6,surface_1,表层素填土
325.0,325.0,31.2,surface_2,粘土层
325.0,325.0,24.5,surface_3,砂质粉土层
325.0,325.0,18.1,surface_4,中砂层
325.0,325.0,12.4,surface_5,强风化花岗岩
375.0,325.0,40.8,surface_1,表层素填土
375.0,325.0,34.4,surface_2,粘土层
375.0,325.0,27.7,surface_3,砂质粉土层
375.0,325.0,21.3,surface_4,中砂层
375.0,325.0,15.6,surface_5,强风化花岗岩
425.0,325.0,38.4,surface_1,表层素填土
425.0,325.0,32.0,surface_2,粘土层
425.0,325.0,25.3,surface_3,砂质粉土层
425.0,325.0,18.9,surface_4,中砂层
425.0,325.0,13.2,surface_5,强风化花岗岩
475.0,325.0,41.6,surface_1,表层素填土
475.0,325.0,35.2,surface_2,粘土层
475.0,325.0,28.5,surface_3,砂质粉土层
475.0,325.0,22.1,surface_4,中砂层
475.0,325.0,16.4,surface_5,强风化花岗岩
25.0,425.0,39.5,surface_1,表层素填土
25.0,425.0,33.1,surface_2,粘土层
25.0,425.0,26.4,surface_3,砂质粉土层
25.0,425.0,20.0,surface_4,中砂层
25.0,425.0,14.3,surface_5,强风化花岗岩
75.0,425.0,42.7,surface_1,表层素填土
75.0,425.0,36.3,surface_2,粘土层
75.0,425.0,29.6,surface_3,砂质粉土层
75.0,425.0,23.2,surface_4,中砂层
75.0,425.0,17.5,surface_5,强风化花岗岩
125.0,425.0,40.9,surface_1,表层素填土
125.0,425.0,34.5,surface_2,粘土层
125.0,425.0,27.8,surface_3,砂质粉土层
125.0,425.0,21.4,surface_4,中砂层
125.0,425.0,15.7,surface_5,强风化花岗岩
175.0,425.0,44.1,surface_1,表层素填土
175.0,425.0,37.7,surface_2,粘土层
175.0,425.0,31.0,surface_3,砂质粉土层
175.0,425.0,24.6,surface_4,中砂层
175.0,425.0,18.9,surface_5,强风化花岗岩
225.0,425.0,41.7,surface_1,表层素填土
225.0,425.0,35.3,surface_2,粘土层
225.0,425.0,28.6,surface_3,砂质粉土层
225.0,425.0,22.2,surface_4,中砂层
225.0,425.0,16.5,surface_5,强风化花岗岩
275.0,425.0,44.9,surface_1,表层素填土
275.0,425.0,38.5,surface_2,粘土层
275.0,425.0,31.8,surface_3,砂质粉土层
275.0,425.0,25.4,surface_4,中砂层
275.0,425.0,19.7,surface_5,强风化花岗岩
325.0,425.0,42.8,surface_1,表层素填土
325.0,425.0,36.4,surface_2,粘土层
325.0,425.0,29.7,surface_3,砂质粉土层
325.0,425.0,23.3,surface_4,中砂层
325.0,425.0,17.6,surface_5,强风化花岗岩
375.0,425.0,46.0,surface_1,表层素填土
375.0,425.0,39.6,surface_2,粘土层
375.0,425.0,32.9,surface_3,砂质粉土层
375.0,425.0,26.5,surface_4,中砂层
375.0,425.0,20.8,surface_5,强风化花岗岩
425.0,425.0,43.6,surface_1,表层素填土
425.0,425.0,37.2,surface_2,粘土层
425.0,425.0,30.5,surface_3,砂质粉土层
425.0,425.0,24.1,surface_4,中砂层
425.0,425.0,18.4,surface_5,强风化花岗岩
475.0,425.0,46.8,surface_1,表层素填土
475.0,425.0,40.4,surface_2,粘土层
475.0,425.0,33.7,surface_3,砂质粉土层
475.0,425.0,27.3,surface_4,中砂层
475.0,425.0,21.6,surface_5,强风化花岗岩 
