id,x,y,z,soil_type,description
54,156.6,155.61,-34.69,4,砂砾石
55,156.6,155.61,-50,5,基岩
56,204.6,188.57,0,1,黏土
57,204.6,188.57,-8.24,2,砂质土
58,204.6,188.57,-20.6,3,粉质土
59,204.6,188.57,-33.57,4,砂砾石
60,204.6,188.57,-50,5,基岩
61,73.19,61.1,0,1,黏土
62,73.19,61.1,-8.57,2,砂质土
63,73.19,61.1,-21.47,3,粉质土
64,73.19,61.1,-34.66,4,砂砾石
65,73.19,61.1,-50,5,基岩
66,170.85,216.51,0,1,黏土
67,170.85,216.51,-10.65,2,砂质土
68,170.85,216.51,-18.04,3,粉质土
69,170.85,216.51,-36.88,4,砂砾石
70,170.85,216.51,-50,5,基岩
71,143.14,287.64,0,1,黏土
72,143.14,287.64,-8.99,2,砂质土
73,143.14,287.64,-20.62,3,粉质土
74,143.14,287.64,-35.14,4,砂砾石
75,143.14,287.64,-50,5,基岩
76,73.45,106.07,0,1,黏土
77,73.45,106.07,-8.36,2,砂质土
78,73.45,106.07,-18.09,3,粉质土
79,73.45,106.07,-33.45,4,砂砾石
80,73.45,106.07,-50,5,基岩
81,298.92,188.87,0,1,黏土
82,298.92,188.87,-11.5,2,砂质土
83,298.92,188.87,-20.54,3,粉质土
84,298.92,188.87,-36.59,4,砂砾石
85,298.92,188.87,-50,5,基岩
86,159.72,218.53,0,1,黏土
87,159.72,218.53,-8.37,2,砂质土
88,159.72,218.53,-21.17,3,粉质土
89,159.72,218.53,-33.82,4,砂砾石
90,159.72,218.53,-50,5,基岩
91,256.26,80.72,0,1,黏土
92,256.26,80.72,-11.98,2,砂质土
93,256.26,80.72,-21.62,3,粉质土
94,256.26,80.72,-36.88,4,砂砾石
95,256.26,80.72,-50,5,基岩
96,259.97,14.71,0,1,黏土
97,259.97,14.71,-11.78,2,砂质土
98,259.97,14.71,-21.7,3,粉质土
99,259.97,14.71,-35.96,4,砂砾石
100,259.97,14.71,-50,5,基岩
101,249.09,205.56,0,1,黏土
102,249.09,205.56,-9.35,2,砂质土
103,249.09,205.56,-21.4,3,粉质土
104,249.09,205.56,-36.66,4,砂砾石
105,249.09,205.56,-50,5,基岩
106,176.99,99.01,0,1,黏土
107,176.99,99.01,-11.03,2,砂质土
108,176.99,99.01,-20.22,3,粉质土
109,176.99,99.01,-33.28,4,砂砾石
110,176.99,99.01,-50,5,基岩
111,293.32,136.41,0,1,黏土
112,293.32,136.41,-10.43,2,砂质土
113,293.32,136.41,-21.76,3,粉质土
114,293.32,136.41,-33.09,4,砂砾石
115,293.32,136.41,-50,5,基岩
116,242.76,121.15,0,1,黏土
117,242.76,121.15,-9.06,2,砂质土
118,242.76,121.15,-19.56,3,粉质土
119,242.76,121.15,-34.86,4,砂砾石
120,242.76,121.15,-50,5,基岩
121,91.71,191.23,0,1,黏土
122,91.71,191.23,-11.13,2,砂质土
123,91.71,191.23,-19.63,3,粉质土
124,91.71,191.23,-34.18,4,砂砾石
125,91.71,191.23,-50,5,基岩
126,89.62,286.36,0,1,黏土
127,89.62,286.36,-11.18,2,砂质土
128,89.62,286.36,-19.86,3,粉质土
129,89.62,286.36,-34.99,4,砂砾石
130,89.62,286.36,-50,5,基岩
131,253.27,256.74,0,1,黏土
132,253.27,256.74,-10.31,2,砂质土
133,253.27,256.74,-20.42,3,粉质土
134,253.27,256.74,-33.94,4,砂砾石
135,253.27,256.74,-50,5,基岩
136,14.63,190.81,0,1,黏土
137,14.63,190.81,-9.95,2,砂质土
138,14.63,190.81,-18.48,3,粉质土
139,14.63,190.81,-33.63,4,砂砾石
140,14.63,190.81,-50,5,基岩
141,207.75,2.7,0,1,黏土
142,207.75,2.7,-10.03,2,砂质土
143,207.75,2.7,-18.45,3,粉质土
144,207.75,2.7,-36.54,4,砂砾石
145,207.75,2.7,-50,5,基岩
146,233.68,23.1,0,1,黏土
147,233.68,23.1,-11.97,2,砂质土
148,233.68,23.1,-19.2,3,粉质土
149,233.68,23.1,-34.96,4,砂砾石
150,233.68,23.1,-50,5,基岩
151,261.57,224.85,0,1,黏土
152,261.57,224.85,-10.4,2,砂质土
153,261.57,224.85,-18.07,3,粉质土
154,261.57,224.85,-35.56,4,砂砾石
155,261.57,224.85,-50,5,基岩
156,115.25,232.53,0,1,黏土
157,115.25,232.53,-9.28,2,砂质土
158,115.25,232.53,-18.92,3,粉质土
159,115.25,232.53,-33.23,4,砂砾石
160,115.25,232.53,-50,5,基岩
161,123.17,61.51,0,1,黏土
162,123.17,61.51,-10.31,2,砂质土
163,123.17,61.51,-18.06,3,粉质土
164,123.17,61.51,-33.92,4,砂砾石
165,123.17,61.51,-50,5,基岩
166,186.5,249.49,0,1,黏土
167,186.5,249.49,-9.86,2,砂质土
168,186.5,249.49,-20.53,3,粉质土
169,186.5,249.49,-35.67,4,砂砾石
170,186.5,249.49,-50,5,基岩
171,264.39,13.18,0,1,黏土
172,264.39,13.18,-11.35,2,砂质土
173,264.39,13.18,-21.77,3,粉质土
174,264.39,13.18,-35.55,4,砂砾石
175,264.39,13.18,-50,5,基岩
176,115.45,59.48,0,1,黏土
177,115.45,59.48,-11.08,2,砂质土
178,115.45,59.48,-21.52,3,粉质土
179,115.45,59.48,-36.28,4,砂砾石
180,115.45,59.48,-50,5,基岩
181,37.17,181.41,0,1,黏土
182,37.17,181.41,-9.14,2,砂质土
183,37.17,181.41,-18.7,3,粉质土
184,37.17,181.41,-33.7,4,砂砾石
185,37.17,181.41,-50,5,基岩
186,113.81,120.95,0,1,黏土
187,113.81,120.95,-10.17,2,砂质土
188,113.81,120.95,-20.25,3,粉质土
189,113.81,120.95,-34.68,4,砂砾石
190,113.81,120.95,-50,5,基岩
191,285.24,196.0,0,1,黏土
192,285.24,196.0,-8.47,2,砂质土
193,285.24,196.0,-18.08,3,粉质土
194,285.24,196.0,-36.6,4,砂砾石
195,285.24,196.0,-50,5,基岩
196,167.06,214.0,0,1,黏土
197,167.06,214.0,-11.57,2,砂质土
198,167.06,214.0,-19.15,3,粉质土
199,167.06,214.0,-35.81,4,砂砾石
200,167.06,214.0,-50,5,基岩
201,98.35,209.4,0,1,黏土
202,98.35,209.4,-11.56,2,砂质土
203,98.35,209.4,-20.73,3,粉质土
204,98.35,209.4,-36.36,4,砂砾石
205,98.35,209.4,-50,5,基岩
206,200.29,150.19,0,1,黏土
207,200.29,150.19,-11.24,2,砂质土
208,200.29,150.19,-19.95,3,粉质土
209,200.29,150.19,-34.21,4,砂砾石
210,200.29,150.19,-50,5,基岩
211,118.59,238.18,0,1,黏土
212,118.59,238.18,-11.87,2,砂质土
213,118.59,238.18,-18.82,3,粉质土
214,118.59,238.18,-34.78,4,砂砾石
215,118.59,238.18,-50,5,基岩
216,108.04,246.93,0,1,黏土
217,108.04,246.93,-11.98,2,砂质土
218,108.04,246.93,-18.57,3,粉质土
219,108.04,246.93,-34.8,4,砂砾石
220,108.04,246.93,-50,5,基岩
221,242.64,18.6,0,1,黏土
222,242.64,18.6,-10.09,2,砂质土
223,242.64,18.6,-19.7,3,粉质土
224,242.64,18.6,-33.91,4,砂砾石
225,242.64,18.6,-50,5,基岩
226,12.34,23.77,0,1,黏土
227,12.34,23.77,-10.02,2,砂质土
228,12.34,23.77,-20.93,3,粉质土
229,12.34,23.77,-35.04,4,砂砾石
230,12.34,23.77,-50,5,基岩
231,223.52,244.91,0,1,黏土
232,223.52,244.91,-11.33,2,砂质土
233,223.52,244.91,-19.19,3,粉质土
234,223.52,244.91,-34.06,4,砂砾石
235,223.52,244.91,-50,5,基岩
236,169.28,1.88,0,1,黏土
237,169.28,1.88,-11.42,2,砂质土
238,169.28,1.88,-18.52,3,粉质土
239,169.28,1.88,-33.71,4,砂砾石
240,169.28,1.88,-50,5,基岩
241,5.14,59.45,0,1,黏土
242,5.14,59.45,-10.66,2,砂质土
243,5.14,59.45,-18.48,3,粉质土
244,5.14,59.45,-36.06,4,砂砾石
245,5.14,59.45,-50,5,基岩
246,65.21,276.45,0,1,黏土
247,65.21,276.45,-8.43,2,砂质土
248,65.21,276.45,-18.47,3,粉质土
249,65.21,276.45,-34.24,4,砂砾石
250,65.21,276.45,-50,5,基岩
